Date,Product,Category,Region,Quantity,Revenue,Cost,Discount,Marketing Spend,Customer Type,Operating Cost,Profit
2024-01-01 00:00:00.000000000,Laptop,Electronics,South,1,72403.23,45802.39,8,30488.93,New,20556.17,6254.54
2024-01-01 21:55:38.673341677,Tablet,Electronics,West,10,244506.97,186052.08,15,29790.89,Corporate,19425.22,41573.22
2024-01-02 19:51:17.346683354,Smartwatch,Wearables,East,16,128404.49,89290.8,20,42284.61,Returning,3427.3,33629.8
2024-01-03 17:46:56.020025031,Headphones,Accessories,East,28,127630.06,71034.11,8,36973.97,New,9008.93,44634.87
2024-01-04 15:42:34.693366708,Headphones,Accessories,East,23,99736.47,62644.61,0,6196.0,Returning,13303.43,21872.7
2024-01-05 13:38:13.366708385,Monitor,Electronics,West,24,345784.1,270978.14,25,7225.66,Returning,16101.98,59003.12
2024-01-06 11:33:52.040050062,Laptop,Electronics,South,17,1063985.67,767212.73,5,32070.13,Returning,23222.89,272887.6
2024-01-07 09:29:30.713391739,Tablet,Electronics,West,4,101218.47,75320.77,12,26878.64,New,11263.33,16765.2
2024-01-08 07:25:09.386733416,Smartphone,Electronics,East,12,331075.86,244413.71,5,16708.31,New,22250.51,68325.83
2024-01-09 05:20:48.060075093,Laptop,Electronics,West,30,1922836.17,1365499.29,5,23839.52,New,6595.44,547813.92
2024-01-10 03:16:26.733416771,Smartwatch,Wearables,East,2,17893.77,11334.15,20,39105.96,New,11168.17,-6810.39
2024-01-11 01:12:05.406758448,Monitor,Electronics,North,27,464112.31,315227.28,5,42197.52,Returning,4150.2,140426.11
2024-01-11 23:07:44.080100125,Tablet,Electronics,East,21,486815.13,410386.77,15,30255.04,New,19334.76,63184.71
2024-01-12 21:03:22.753441802,Tablet,Electronics,West,9,216987.69,180665.8,15,22341.63,Returning,6314.36,30921.53
2024-01-13 18:59:01.426783479,Tablet,Electronics,North,24,672477.76,468435.35,0,17181.35,Returning,8654.44,196827.37
2024-01-14 16:54:40.100125156,Tablet,Electronics,West,26,706665.71,512091.77,5,28486.33,New,20055.13,170498.19
2024-01-15 14:50:18.773466833,Smartwatch,Wearables,North,2,17099.0,11009.9,20,19163.73,Corporate,14763.77,-8678.18
2024-01-16 12:45:57.446808510,Laptop,Electronics,West,4,222763.07,180830.3,12,30384.28,Returning,3307.4,40153.11
2024-01-17 10:41:36.120150187,Monitor,Electronics,West,20,375991.28,233337.08,0,35449.36,New,3049.17,138846.76
2024-01-18 08:37:14.793491864,Headphones,Accessories,North,30,102742.23,81935.33,25,7973.56,Returning,14234.53,9799.48
2024-01-19 06:32:53.466833542,Smartwatch,Wearables,East,1,9333.61,5647.97,8,5048.04,New,9709.02,912.11
2024-01-20 04:28:32.140175219,Headphones,Accessories,North,20,89401.1,51038.61,0,14552.47,Corporate,6966.85,28554.45
2024-01-21 02:24:10.813516896,Smartphone,Electronics,East,5,110981.52,104484.61,25,45253.02,Returning,16499.07,-13068.42
2024-01-22 00:19:49.486858573,Monitor,Electronics,West,20,360838.07,245571.79,0,34083.08,Returning,8025.6,104607.41
